10482493@N05-31	10	3	6	2	
11037560@N04-38	13	6	2	
11037560@N04-39	2	6	3	
112042056@N06-49	2	4	6	9	
11452054@N00-55	12	2	13	
12982579@N00-90	8	9	16	10	12	
14086506@N02-107	2	3	5	11	6	24	
14578360@N00-119	15	4	7	
16312054@N06-154	11	10	3	6	5	
16497759@N07-157	14	8	12	
16516058@N03-159	11	5	3	6	2	
17358831@N00-178	12	8	3	
17424601@N00-179	5	2	6	
17643132@N00-184	13	2	6	3	
20483509@N00-238	15	9	2	
21047061@N04-248	5	3	2	
22087304@N07-386	2	15	4	6	
22087304@N07-390	3	6	9	
22087304@N07-401	25	9	22	
22087304@N07-402	7	16	9	
22751315@N05-419	5	6	2	
23363966@N02-454	9	14	2	
24616128@N00-479	13	2	10	
25396215@N00-484	6	2	8	
28370443@N08-539	6	2	18	13	12	8	11	3	
29797746@N08-576	5	8	9	16	19	12	11	
30024546@N04-588	16	4	11	
30024546@N04-644	8	11	9	
30024546@N04-666	12	11	10	
30024546@N04-671	10	2	11	
30511496@N00-681	2	13	8	
30671962@N05-683	6	27	2	
30713600@N00-685	2	3	5	
30985799@N00-698	2	9	10	
31438571@N07-733	6	2	3	
31564588@N06-760	6	3	2	
31803571@N02-762	2	13	17	
32693718@N07-780	5	3	2	
32714545@N05-781	3	24	13	
33278177@N00-790	5	6	3	21	
33563858@N00-796	13	10	12	
34427470616@N01-814	5	3	12	
34427470616@N01-815	5	12	10	15	
34995267@N00-827	19	12	11	
35034349172@N01-898	4	16	9	
35034349172@N01-899	7	4	9	16	
35034349172@N01-900	4	7	16	
35468152754@N01-923	2	6	3	5	
35468159247@N01-958	16	4	15	2	
35468159247@N01-965	7	4	14	
35761150@N04-976	6	3	5	9	15	4	7	
35761150@N04-977	19	3	2	
37622685@N02-1076	4	15	9	
38166049@N00-1084	9	13	10	
38826189@N00-1085	8	5	3	15	
41418909@N06-1124	3	2	6	
41894174966@N01-1128	5	6	2	
43002463@N00-1162	9	4	15	
44124372821@N01-1211	13	12	2	9	
44232489@N02-1216	5	2	10	
45072550@N03-1223	2	13	15	3	6	
48001787@N06-1250	2	10	9	
49253583@N02-1294	8	11	12	
49998283@N00-1297	13	12	11	
49998283@N00-1298	8	12	10	2	
51168133@N00-1305	2	6	3	13	4	
51207064@N00-1317	3	2	6	
51207064@N00-1324	11	10	2	
52686644@N04-1336	10	12	11	3	5	
55329285@N05-1383	15	4	7	
55329285@N05-1400	15	4	5	
55898913@N04-1416	5	3	2	9	21	
56846157@N00-1426	4	7	8	3	6	
56889878@N03-1429	2	12	11	
57474170@N05-1441	6	2	14	10	
57879122@N00-1444	2	3	6	12	
62798459@N00-1495	3	26	11	
63651050@N00-1507	13	5	8	
65244239@N00-1518	14	16	9	
70284683@N06-1560	26	6	3	
70544918@N00-1633	7	6	11	
70938076@N00-1676	10	3	2	
72579404@N00-1712	10	2	3	
72746018@N00-1713	6	3	10	8	
72746018@N00-1716	8	10	4	
73429256@N00-1733	5	3	13	
74937968@N00-1774	5	3	10	
7512717@N06-1778	10	2	6	3	
7512717@N06-1779	6	3	11	10	2	
7512717@N06-1780	5	3	8	
7587786@N05-1797	5	6	2	
7797604@N05-1845	9	4	10	
7868489@N05-1852	13	2	12	
7883724@N05-1853	2	6	13	
82103247@N00-1897	6	3	2	
82103247@N00-1898	3	6	10	
82103247@N00-1899	3	6	10	
82103247@N00-1901	2	3	5	6	
82619366@N00-1910	4	11	2	
82619366@N00-1911	4	15	9	7	
8286908@N02-1951	2	4	13	
84272941@N00-1976	2	3	6	
8503026@N04-1985	9	15	4	5	2	
85217508@N00-1988	6	3	22	8	13	2	
85397137@N00-1992	3	10	19	5	
89182227@N00-2048	7	4	15	
91685781@N00-2081	3	6	2	
92367195@N00-2106	22	25	9	
9286726@N03-2143	2	6	5	13	
9511818@N03-2156	3	6	5	
9828412@N05-2204	9	8	12	
98833136@N00-2214	13	2	6	
