10307040@N08-2	5	3	9	6	
10340578@N06-3	5	9	18	
10340578@N06-4	11	8	3	
11354044@N05-8	9	14	23	11	
12452841@N00-23	2	12	5	
12452841@N00-24	21	18	19	2	5	
14003952@N04-43	6	2	7	
21147679@N08-69	19	9	2	
22087824@N00-83	2	28	3	
22669489@N00-86	3	8	9	2	5	
26678013@N00-171	11	8	13	
27921677@N00-181	7	2	5	
29989965@N00-204	11	8	9	2	3	
31484513@N00-263	21	9	10	
35391423@N00-324	3	8	11	7	
36330824413@N01-338	3	5	7	
38235150@N00-367	11	8	3	
43749456@N05-441	14	3	8	6	
44926895@N07-462	17	3	9	2	
47957339@N00-487	7	13	10	
49462908@N00-526	7	6	2	19	12	
51035737977@N01-574	2	6	3	
53289105@N00-584	3	5	19	9	21	
56944727@N00-626	2	3	6	
63282110@N00-680	12	14	5	
64667184@N02-697	2	12	7	
68089733@N00-712	7	11	8	
68089733@N00-713	8	11	2	
71459982@N00-736	5	10	2	
7183194@N02-744	2	12	9	18	21	14	
75595126@N00-801	15	9	6	
77526889@N00-820	2	20	11	8	6	
82414749@N00-897	7	2	6	
85736811@N00-935	9	3	5	
87807876@N00-945	13	5	2	
87807876@N00-955	2	5	14	9	18	
88016824@N00-963	3	11	8	
8909846@N06-970	6	2	5	
91041933@N00-989	22	7	6	
91609485@N00-1001	8	11	13	
94387617@N00-1028	7	13	5	
94387617@N00-1069	5	19	2	
95157838@N00-1084	9	6	7	
95157838@N00-1085	14	21	3	
95157838@N00-1086	2	9	11	
9643030@N08-1094	7	3	14	9	
97972855@N00-1101	3	14	9	6	
